ProductKey	Product	Standard Cost	Color	Subcategory	Category	Background Color Format	Font Color Format
490	Short-Sleeve Classic Jersey, L	$41.57	Yellow	Jerseys	Clothing	#FFFF00	#000000
491	Short-Sleeve Classic Jersey, XL	$41.57	Yellow	Jerseys	Clothing	#FFFF00	#000000
492	HL Touring Frame - Yellow, 60	$601.74	Yellow	Touring Frames	Components	#FFFF00	#000000
493	LL Touring Frame - Yellow, 62	$199.85	Yellow	Touring Frames	Components	#FFFF00	#000000
494	HL Touring Frame - Yellow, 46	$601.74	Yellow	Touring Frames	Components	#FFFF00	#000000
495	HL Touring Frame - Yellow, 50	$601.74	Yellow	Touring Frames	Components	#FFFF00	#000000
496	HL Touring Frame - Yellow, 54	$601.74	Yellow	Touring Frames	Components	#FFFF00	#000000
497	HL Touring Frame - Blue, 46	$601.74	Blue	Touring Frames	Components	#0000FF	#FFFFFF
498	HL Touring Frame - Blue, 50	$601.74	Blue	Touring Frames	Components	#0000FF	#FFFFFF
499	HL Touring Frame - Blue, 54	$601.74	Blue	Touring Frames	Components	#0000FF	#FFFFFF
500	HL Touring Frame - Blue, 60	$601.74	Blue	Touring Frames	Components	#0000FF	#FFFFFF
501	Rear Derailleur	$53.93	Silver	Derailleurs	Components	#C0C0C0	#000000
502	LL Touring Frame - Blue, 50	$199.85	Blue	Touring Frames	Components	#0000FF	#FFFFFF
503	LL Touring Frame - Blue, 54	$199.85	Blue	Touring Frames	Components	#0000FF	#FFFFFF
504	LL Touring Frame - Blue, 58	$199.85	Blue	Touring Frames	Components	#0000FF	#FFFFFF
505	LL Touring Frame - Blue, 62	$199.85	Blue	Touring Frames	Components	#0000FF	#FFFFFF
506	LL Touring Frame - Yellow, 44	$199.85	Yellow	Touring Frames	Components	#FFFF00	#000000
507	LL Touring Frame - Yellow, 50	$199.85	Yellow	Touring Frames	Components	#FFFF00	#000000
508	LL Touring Frame - Yellow, 54	$199.85	Yellow	Touring Frames	Components	#FFFF00	#000000
509	LL Touring Frame - Yellow, 58	$199.85	Yellow	Touring Frames	Components	#FFFF00	#000000
510	LL Touring Frame - Blue, 44	$199.85	Blue	Touring Frames	Components	#0000FF	#FFFFFF
511	ML Mountain Frame-W - Silver, 40	$199.38	Silver	Mountain Frames	Components	#C0C0C0	#000000
512	ML Mountain Frame-W - Silver, 42	$199.38	Silver	Mountain Frames	Components	#C0C0C0	#000000
513	ML Mountain Frame-W - Silver, 46	$199.38	Silver	Mountain Frames	Components	#C0C0C0	#000000
514	Rear Brakes	$47.29	Silver	Brakes	Components	#C0C0C0	#000000
515	LL Mountain Seat/Saddle	$12.04	NA	Saddles	Components	#DCDCDC	#000000
516	ML Mountain Seat/Saddle	$17.38	NA	Saddles	Components	#DCDCDC	#000000
517	HL Mountain Seat/Saddle	$23.37	NA	Saddles	Components	#DCDCDC	#000000
518	LL Road Seat/Saddle	$12.04	NA	Saddles	Components	#DCDCDC	#000000
519	ML Road Seat/Saddle	$17.38	NA	Saddles	Components	#DCDCDC	#000000
520	HL Road Seat/Saddle	$23.37	NA	Saddles	Components	#DCDCDC	#000000
521	LL Touring Seat/Saddle	$12.04	NA	Saddles	Components	#DCDCDC	#000000
522	ML Touring Seat/Saddle	$17.38	NA	Saddles	Components	#DCDCDC	#000000
523	HL Touring Seat/Saddle	$23.37	NA	Saddles	Components	#DCDCDC	#000000
524	LL Mountain Frame - Silver, 42	$144.59	Silver	Mountain Frames	Components	#C0C0C0	#000000
525	LL Mountain Frame - Silver, 44	$144.59	Silver	Mountain Frames	Components	#C0C0C0	#000000
526	LL Mountain Frame - Silver, 48	$144.59	Silver	Mountain Frames	Components	#C0C0C0	#000000
527	LL Mountain Frame - Silver, 52	$144.59	Silver	Mountain Frames	Components	#C0C0C0	#000000
528	Mountain Tire Tube	$1.87	NA	Tires and Tubes	Accessories	#DCDCDC	#000000
529	Road Tire Tube	$1.49	NA	Tires and Tubes	Accessories	#DCDCDC	#000000
530	Touring Tire Tube	$1.87	NA	Tires and Tubes	Accessories	#DCDCDC	#000000
535	LL Mountain Tire	$9.35	NA	Tires and Tubes	Accessories	#DCDCDC	#000000
536	ML Mountain Tire	$11.22	NA	Tires and Tubes	Accessories	#DCDCDC	#000000
537	HL Mountain Tire	$13.09	NA	Tires and Tubes	Accessories	#DCDCDC	#000000
538	LL Road Tire	$8.04	NA	Tires and Tubes	Accessories	#DCDCDC	#000000
539	ML Road Tire	$9.35	NA	Tires and Tubes	Accessories	#DCDCDC	#000000
540	HL Road Tire	$12.19	NA	Tires and Tubes	Accessories	#DCDCDC	#000000
541	Touring Tire	$10.84	NA	Tires and Tubes	Accessories	#DCDCDC	#000000
542	LL Mountain Pedal	$17.98	Silver/Black	Pedals	Components	#696969	#FFFFFF
543	ML Mountain Pedal	$27.57	Silver/Black	Pedals	Components	#696969	#FFFFFF
544	HL Mountain Pedal	$35.96	Silver/Black	Pedals	Components	#696969	#FFFFFF
545	LL Road Pedal	$17.98	Silver/Black	Pedals	Components	#696969	#FFFFFF
546	ML Road Pedal	$27.57	Silver/Black	Pedals	Components	#696969	#FFFFFF
547	HL Road Pedal	$35.96	Silver/Black	Pedals	Components	#696969	#FFFFFF
548	Touring Pedal	$35.96	Silver/Black	Pedals	Components	#696969	#FFFFFF
549	ML Mountain Frame-W - Silver, 38	$199.38	Silver	Mountain Frames	Components	#C0C0C0	#000000
551	LL Mountain Frame - Silver, 40	$144.59	Silver	Mountain Frames	Components	#C0C0C0	#000000
552	Front Derailleur	$40.62	Silver	Derailleurs	Components	#C0C0C0	#000000
553	LL Touring Handlebars	$20.46	NA	Handlebars	Components	#DCDCDC	#000000
554	HL Touring Handlebars	$40.66	NA	Handlebars	Components	#DCDCDC	#000000
555	Front Brakes	$47.29	Silver	Brakes	Components	#C0C0C0	#000000
559	Chain	$8.99	Silver	Chains	Components	#C0C0C0	#000000
560	Touring-2000 Blue, 60	$755.15	Blue	Touring Bikes	Bikes	#0000FF	#FFFFFF
561	Touring-1000 Yellow, 46	$1,481.94	Yellow	Touring Bikes	Bikes	#FFFF00	#000000
562	Touring-1000 Yellow, 50	$1,481.94	Yellow	Touring Bikes	Bikes	#FFFF00	#000000
563	Touring-1000 Yellow, 54	$1,481.94	Yellow	Touring Bikes	Bikes	#FFFF00	#000000
564	Touring-1000 Yellow, 60	$1,481.94	Yellow	Touring Bikes	Bikes	#FFFF00	#000000
565	Touring-3000 Blue, 54	$461.44	Blue	Touring Bikes	Bikes	#0000FF	#FFFFFF
566	Touring-3000 Blue, 58	$461.44	Blue	Touring Bikes	Bikes	#0000FF	#FFFFFF
567	Touring-3000 Blue, 62	$461.44	Blue	Touring Bikes	Bikes	#0000FF	#FFFFFF
568	Touring-3000 Yellow, 44	$461.44	Yellow	Touring Bikes	Bikes	#FFFF00	#000000
569	Touring-3000 Yellow, 50	$461.44	Yellow	Touring Bikes	Bikes	#FFFF00	#000000
570	Touring-3000 Yellow, 54	$461.44	Yellow	Touring Bikes	Bikes	#FFFF00	#000000
571	Touring-3000 Yellow, 58	$461.44	Yellow	Touring Bikes	Bikes	#FFFF00	#000000
572	Touring-3000 Yellow, 62	$461.44	Yellow	Touring Bikes	Bikes	#FFFF00	#000000
573	Touring-1000 Blue, 46	$1,481.94	Blue	Touring Bikes	Bikes	#0000FF	#FFFFFF
574	Touring-1000 Blue, 50	$1,481.94	Blue	Touring Bikes	Bikes	#0000FF	#FFFFFF
575	Touring-1000 Blue, 54	$1,481.94	Blue	Touring Bikes	Bikes	#0000FF	#FFFFFF
576	Touring-1000 Blue, 60	$1,481.94	Blue	Touring Bikes	Bikes	#0000FF	#FFFFFF
577	Touring-2000 Blue, 46	$755.15	Blue	Touring Bikes	Bikes	#0000FF	#FFFFFF
578	Touring-2000 Blue, 50	$755.15	Blue	Touring Bikes	Bikes	#0000FF	#FFFFFF
579	Touring-2000 Blue, 54	$755.15	Blue	Touring Bikes	Bikes	#0000FF	#FFFFFF
580	Road-350-W Yellow, 40	$1,082.51	Yellow	Road Bikes	Bikes	#FFFF00	#000000
581	Road-350-W Yellow, 42	$1,082.51	Yellow	Road Bikes	Bikes	#FFFF00	#000000
582	Road-350-W Yellow, 44	$1,082.51	Yellow	Road Bikes	Bikes	#FFFF00	#000000
583	Road-350-W Yellow, 48	$1,082.51	Yellow	Road Bikes	Bikes	#FFFF00	#000000
585	Touring-3000 Blue, 44	$461.44	Blue	Touring Bikes	Bikes	#0000FF	#FFFFFF
586	Touring-3000 Blue, 50	$461.44	Blue	Touring Bikes	Bikes	#0000FF	#FFFFFF
587	Mountain-400-W Silver, 38	$419.78	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
588	Mountain-400-W Silver, 40	$419.78	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
589	Mountain-400-W Silver, 42	$419.78	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
590	Mountain-400-W Silver, 46	$419.78	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
591	Mountain-500 Silver, 40	$308.22	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
592	Mountain-500 Silver, 42	$308.22	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
593	Mountain-500 Silver, 44	$308.22	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
594	Mountain-500 Silver, 48	$308.22	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
595	Mountain-500 Silver, 52	$308.22	Silver	Mountain Bikes	Bikes	#C0C0C0	#000000
601	LL Bottom Bracket	$23.97	NA	Bottom Brackets	Components	#DCDCDC	#000000
602	ML Bottom Bracket	$44.95	NA	Bottom Brackets	Components	#DCDCDC	#000000
603	HL Bottom Bracket	$53.94	NA	Bottom Brackets	Components	#DCDCDC	#000000
